GallonsPer100Miles,GallonsPer100MilesTo1981,MPG,Cylinders,Displacement100ci,Displacement,Horsepower100,Horsepower,Weight1000lb,Weight,Seconds0to60,Year,Year70To81,Origin,Origin.Eq.1,Origin.Eq.2,Origin.Eq.3,Name
5.6,5.6,18,8,3.07,307,1.3,130,3.504,3504,12,70,1,1,1,0,0,chevrolet chevelle malibu
6.7,6.7,15,8,3.5,350,1.65,165,3.693,3693,11.5,70,1,1,1,0,0,buick skylark 320
5.6,5.6,18,8,3.18,318,1.5,150,3.436,3436,11,70,1,1,1,0,0,plymouth satellite
6.3,6.3,16,8,3.04,304,1.5,150,3.433,3433,12,70,1,1,1,0,0,amc rebel sst
5.9,5.9,17,8,3.02,302,1.4,140,3.449,3449,10.5,70,1,1,1,0,0,ford torino
6.7,6.7,15,8,4.29,429,1.98,198,4.341,4341,10,70,1,1,1,0,0,ford galaxie 500
7.1,7.1,14,8,4.54,454,2.2,220,4.354,4354,9,70,1,1,1,0,0,chevrolet impala
7.1,7.1,14,8,4.4,440,2.15,215,4.312,4312,8.5,70,1,1,1,0,0,plymouth fury iii
7.1,7.1,14,8,4.55,455,2.25,225,4.425,4425,10,70,1,1,1,0,0,pontiac catalina
6.7,6.7,15,8,3.9,390,1.9,190,3.85,3850,8.5,70,1,1,1,0,0,amc ambassador dpl
6.7,6.7,15,8,3.83,383,1.7,170,3.563,3563,10,70,1,1,1,0,0,dodge challenger se
7.1,7.1,14,8,3.4,340,1.6,160,3.609,3609,8,70,1,1,1,0,0,plymouth 'cuda 340
6.7,6.7,15,8,4,400,1.5,150,3.761,3761,9.5,70,1,1,1,0,0,chevrolet monte carlo
7.1,7.1,14,8,4.55,455,2.25,225,3.086,3086,10,70,1,1,1,0,0,buick estate wagon (sw)
4.2,4.2,24,4,1.13,113,0.95,95,2.372,2372,15,70,1,3,0,0,1,toyota corona mark ii
4.5,4.5,22,6,1.98,198,0.95,95,2.833,2833,15.5,70,1,1,1,0,0,plymouth duster
5.6,5.6,18,6,1.99,199,0.97,97,2.774,2774,15.5,70,1,1,1,0,0,amc hornet
4.8,4.8,21,6,2,200,0.85,85,2.587,2587,16,70,1,1,1,0,0,ford maverick
3.7,3.7,27,4,0.97,97,0.88,88,2.13,2130,14.5,70,1,3,0,0,1,datsun pl510
3.8,3.8,26,4,0.97,97,0.46,46,1.835,1835,20.5,70,1,2,0,1,0,volkswagen 1131 deluxe sedan
4,4,25,4,1.1,110,0.87,87,2.672,2672,17.5,70,1,2,0,1,0,peugeot 504
4.2,4.2,24,4,1.07,107,0.9,90,2.43,2430,14.5,70,1,2,0,1,0,audi 100 ls
4,4,25,4,1.04,104,0.95,95,2.375,2375,17.5,70,1,2,0,1,0,saab 99e
3.8,3.8,26,4,1.21,121,1.13,113,2.234,2234,12.5,70,1,2,0,1,0,bmw 2002
4.8,4.8,21,6,1.99,199,0.9,90,2.648,2648,15,70,1,1,1,0,0,amc gremlin
10,10,10,8,3.6,360,2.15,215,4.615,4615,14,70,1,1,1,0,0,ford f250
10,10,10,8,3.07,307,2,200,4.376,4376,15,70,1,1,1,0,0,chevy c20
9.1,9.1,11,8,3.18,318,2.1,210,4.382,4382,13.5,70,1,1,1,0,0,dodge d200
11.1,11.1,9,8,3.04,304,1.93,193,4.732,4732,18.5,70,1,1,1,0,0,hi 1200d
3.7,3.7,27,4,0.97,97,0.88,88,2.13,2130,14.5,71,1,3,0,0,1,datsun pl510
3.6,3.6,28,4,1.4,140,0.9,90,2.264,2264,15.5,71,1,1,1,0,0,chevrolet vega 2300
4,4,25,4,1.13,113,0.95,95,2.228,2228,14,71,1,3,0,0,1,toyota corona
5.3,5.3,19,6,2.32,232,1,100,2.634,2634,13,71,1,1,1,0,0,amc gremlin
6.3,6.3,16,6,2.25,225,1.05,105,3.439,3439,15.5,71,1,1,1,0,0,plymouth satellite custom
5.9,5.9,17,6,2.5,250,1,100,3.329,3329,15.5,71,1,1,1,0,0,chevrolet chevelle malibu
5.3,5.3,19,6,2.5,250,0.88,88,3.302,3302,15.5,71,1,1,1,0,0,ford torino 500
5.6,5.6,18,6,2.32,232,1,100,3.288,3288,15.5,71,1,1,1,0,0,amc matador
7.1,7.1,14,8,3.5,350,1.65,165,4.209,4209,12,71,1,1,1,0,0,chevrolet impala
7.1,7.1,14,8,4,400,1.75,175,4.464,4464,11.5,71,1,1,1,0,0,pontiac catalina brougham
7.1,7.1,14,8,3.51,351,1.53,153,4.154,4154,13.5,71,1,1,1,0,0,ford galaxie 500
7.1,7.1,14,8,3.18,318,1.5,150,4.096,4096,13,71,1,1,1,0,0,plymouth fury iii
8.3,8.3,12,8,3.83,383,1.8,180,4.955,4955,11.5,71,1,1,1,0,0,dodge monaco (sw)
7.7,7.7,13,8,4,400,1.7,170,4.746,4746,12,71,1,1,1,0,0,ford country squire (sw)
7.7,7.7,13,8,4,400,1.75,175,5.14,5140,12,71,1,1,1,0,0,pontiac safari (sw)
5.6,5.6,18,6,2.58,258,1.1,110,2.962,2962,13.5,71,1,1,1,0,0,amc hornet sportabout (sw)
4.5,4.5,22,4,1.4,140,0.72,72,2.408,2408,19,71,1,1,1,0,0,chevrolet vega (sw)
5.3,5.3,19,6,2.5,250,1,100,3.282,3282,15,71,1,1,1,0,0,pontiac firebird
5.6,5.6,18,6,2.5,250,0.88,88,3.139,3139,14.5,71,1,1,1,0,0,ford mustang
4.3,4.3,23,4,1.22,122,0.86,86,2.22,2220,14,71,1,1,1,0,0,mercury capri 2000
3.6,3.6,28,4,1.16,116,0.9,90,2.123,2123,14,71,1,2,0,1,0,opel 1900
3.3,3.3,30,4,0.79,79,0.7,70,2.074,2074,19.5,71,1,2,0,1,0,peugeot 304
3.3,3.3,30,4,0.88,88,0.76,76,2.065,2065,14.5,71,1,2,0,1,0,fiat 124b
3.2,3.2,31,4,0.71,71,0.65,65,1.773,1773,19,71,1,3,0,0,1,toyota corolla 1200
2.9,2.9,35,4,0.72,72,0.69,69,1.613,1613,18,71,1,3,0,0,1,datsun 1200
3.7,3.7,27,4,0.97,97,0.6,60,1.834,1834,19,71,1,2,0,1,0,volkswagen model 111
3.8,3.8,26,4,0.91,91,0.7,70,1.955,1955,20.5,71,1,1,1,0,0,plymouth cricket
